Ground Roll distance, Load Factor
1102.171152,    0.725085
1127.600859,    0.721307
1302.339367,    0.695700
1336.910223,    0.690707
1371.356864,    0.685755
1405.679879,    0.680844
1439.879854,    0.675975
1446.705136,    0.675005
1446.814301,    0.674990
1446.898002,    0.674978
1446.940845,    0.674972
1446.961230,    0.674969
1446.969686,    0.674968
1446.971595,    0.674968
1446.972743,    0.674967
1446.973795,    0.674967
1446.984314,    0.674962
1447.089500,    0.674914
1448.141153,    0.674439
1458.637254,    0.669672
1482.658406,    0.658583
1508.303142,    0.646466
1624.563984,    0.587612
1733.735340,    0.525758
1831.515826,    0.463978
1918.181631,    0.403297
1994.375244,    0.344563
2060.828596,    0.288537
2118.287571,    0.235901
2125.683314,    0.228811
2129.818577,    0.224814
2154.988122,    0.199974
2176.747082,    0.177767
2185.832295,    0.168283
2189.793053,    0.164108
2193.552673,    0.160121
2228.554721,    0.121848
2238.392255,    0.110691
2246.230837,    0.101667
2247.849672,    0.099787
2249.706734,    0.097626
2267.147071,    0.076995
2293.383003,    0.044751
2298.411724,    0.038387
2302.830061,    0.032741
2307.076341,    0.027265
2308.451861,    0.025480
2308.915100,    0.024877
2309.369191,    0.024286
2313.608570,    0.018733
2324.418374,    0.004246
2325.934085,    0.002166
2326.690411,    0.001121
2327.151878,    0.000481
2327.404815,    0.000128
2327.494735,    0.000002
2327.496117,    0.000001
2327.496453,    0.000000
2327.496475,    0.000000
