alpha, CL
  -3.893380,   -0.908148
  -3.310295,   -0.868488
  -2.763810,   -0.831317
  -2.220240,   -0.794344
  -1.679492,   -0.757563
  -1.141472,   -0.720967
  -0.606085,   -0.684551
  -0.073238,   -0.648308
   0.457164,   -0.612230
   0.985213,   -0.576313
   1.511003,   -0.540550
   2.043913,   -0.504302
   2.594819,   -0.466830
   3.148853,   -0.429145
   3.706137,   -0.391240
   4.270637,   -0.352843
   4.874405,   -0.311776
   5.559744,   -0.265160
   6.349687,   -0.211429
   7.245279,   -0.150512
   8.225998,   -0.083805
   9.250886,   -0.014093
  10.260118,    0.054558
  11.176435,    0.117123
  11.905492,    0.167304
